gene_id	locus	CDS_length	strand
ENSSHAG00000003143	A:108202-108705	504	+
ENSSHAG00000003651	A:108706-109410	705	-
ENSSHAG00000017675	A:109411-110442	1032	-
ENSSHAG00000024512	A:110443-111717	1275	+
ENSSHAG00000017532	A:111718-113670	1953	-
ENSSHAG00000017373	A:113671-116214	2544	+
ENSSHAG00000017349	A:116215-118083	1869	-
ENSSHAG00000017202	A:118084-119352	1269	-
ENSSHAG00000020745	A:119353-120822	1470	+
ENSSHAG00000016495	A:120823-121518	696	+
ENSSHAG00000021293	A:121519-123285	1767	-
ENSSHAG00000026616	A:123286-124506	1221	+
ENSSHAG00000016233	A:124507-126144	1638	-
ENSSHAG00000028088	A:126145-126420	276	-
ENSSHAG00000026640	A:126421-129693	3273	+
ENSSHAG00000012389	A:129694-130767	1074	-
ENSSHAG00000025790	A:130768-131913	1146	-
ENSSHAG00000026325	A:131914-134829	2916	-
ENSSHAG00000009011	A:134830-137919	3090	+
ENSSHAG00000008519	A:137920-143004	5085	-
ENSSHAG00000024934	A:143005-144666	1662	-
ENSSHAG00000024830	A:144667-146763	2097	-
ENSSHAG00000012478	A:146764-147330	567	-
ENSSHAG00000025824	A:147331-148248	918	+
ENSSHAG00000011517	A:148249-150294	2046	+
ENSSHAG00000030378	A:150295-151950	1656	+
ENSSHAG00000010964	A:151951-153771	1821	+
ENSSHAG00000030341	A:153772-160227	6456	+
ENSSHAG00000026814	A:160228-161892	1665	+
ENSSHAG00000010086	A:161893-165831	3939	-
ENSSHAG00000009941	A:165832-166962	1131	+
ENSSHAG00000009717	A:166963-169113	2151	-
ENSSHAG00000008151	A:169114-174594	5481	+
ENSSHAG00000006436	A:174595-180174	5580	+
ENSSHAG00000022947	A:180175-186201	6027	+
ENSSHAG00000024787	A:186202-187299	1098	-
ENSSHAG00000023142	A:187300-189522	2223	+
ENSSHAG00000003269	A:189523-191679	2157	-
ENSSHAG00000012667	A:191680-198246	6567	+
ENSSHAG00000012020	A:198247-201306	3060	+
ENSSHAG00000009773	A:201307-202317	1011	-
ENSSHAG00000025714	A:202318-205566	3249	+
ENSSHAG00000031748	A:205567-205989	423	+
ENSSHAG00000004055	A:205990-207879	1890	-
ENSSHAG00000021098	A:207880-208386	507	-
ENSSHAG00000002068	A:208387-210327	1941	+
ENSSHAG00000003697	A:210328-212196	1869	-
ENSSHAG00000028622	A:212197-214635	2439	+
ENSSHAG00000031184	A:214636-217041	2406	+
ENSSHAG00000006243	A:217042-219240	2199	+
ENSSHAG00000025893	A:219241-220131	891	-
ENSSHAG00000007407	A:220132-222648	2517	+
ENSSHAG00000011967	A:222649-224706	2058	+
ENSSHAG00000030310	A:224707-224925	219	-
ENSSHAG00000015188	A:224926-225756	831	+
ENSSHAG00000015560	A:225757-228387	2631	-
ENSSHAG00000016048	A:228388-230847	2460	-
ENSSHAG00000021489	A:230848-232200	1353	-
ENSSHAG00000017105	A:232201-234402	2202	+
ENSSHAG00000017187	A:234403-236013	1611	-
ENSSHAG00000017228	A:236014-247911	11898	-
ENSSHAG00000029640	A:247912-249783	1872	+
ENSSHAG00000021291	A:249784-250359	576	-
ENSSHAG00000023281	A:250360-252300	1941	-
ENSSHAG00000017695	A:252301-254661	2361	+
ENSSHAG00000004199	A:254662-262488	7827	+
ENSSHAG00000026769	A:262489-263079	591	+
ENSSHAG00000006068	A:263080-264021	942	-
ENSSHAG00000007204	A:264022-265032	1011	+
ENSSHAG00000031484	A:265033-265428	396	+
ENSSHAG00000029328	A:265429-265959	531	+
ENSSHAG00000007751	A:265960-267783	1824	+
ENSSHAG00000030926	A:267784-268866	1083	-
ENSSHAG00000024301	A:268867-269577	711	+
ENSSHAG00000009080	A:269578-271611	2034	-
ENSSHAG00000024622	A:271612-272277	666	-
ENSSHAG00000003169	A:272278-272952	675	-
ENSSHAG00000005793	A:272953-275370	2418	-
ENSSHAG00000030893	A:275371-275817	447	-
ENSSHAG00000022090	A:275818-276954	1137	+
ENSSHAG00000017902	A:276955-281286	4332	+
ENSSHAG00000018343	A:281287-281790	504	+
ENSSHAG00000027636	A:281791-283209	1419	-
ENSSHAG00000018442	A:283210-287319	4110	-
ENSSHAG00000030353	A:287320-288114	795	+
ENSSHAG00000009729	A:288115-288555	441	+
ENSSHAG00000011430	A:288556-289428	873	+
ENSSHAG00000011615	A:289429-290040	612	-
ENSSHAG00000012231	A:290041-292737	2697	+
ENSSHAG00000012357	A:292738-293751	1014	-
ENSSHAG00000013056	A:293752-296448	2697	-
ENSSHAG00000014822	A:296449-302262	5814	-
ENSSHAG00000017371	A:302263-306711	4449	-
ENSSHAG00000024838	A:306712-307662	951	+
ENSSHAG00000011408	A:307663-310953	3291	-
ENSSHAG00000032152	A:310954-313089	2136	+
ENSSHAG00000029903	A:313090-314388	1299	-
ENSSHAG00000025563	A:314389-314532	144	+
ENSSHAG00000024690	A:314533-315015	483	-
ENSSHAG00000016174	A:315016-316806	1791	-
ENSSHAG00000016301	A:316807-320130	3324	-
ENSSHAG00000016367	A:320131-321519	1389	-
ENSSHAG00000029654	A:321520-322083	564	+
ENSSHAG00000016539	A:322084-323796	1713	-
ENSSHAG00000013729	A:323797-326892	3096	-
ENSSHAG00000017522	A:326893-328422	1530	+
ENSSHAG00000030086	A:328423-329028	606	-
ENSSHAG00000026979	A:329029-331101	2073	-
ENSSHAG00000008775	A:331102-331815	714	-
ENSSHAG00000022511	A:331816-333012	1197	+
ENSSHAG00000031144	A:333013-333780	768	-
ENSSHAG00000013359	A:333781-335064	1284	-
ENSSHAG00000015077	A:335065-336756	1692	-
ENSSHAG00000015594	A:336757-338097	1341	+
ENSSHAG00000015837	A:338098-339309	1212	+
ENSSHAG00000016709	A:339310-341676	2367	-
ENSSHAG00000010121	A:341677-344709	3033	-
ENSSHAG00000010125	A:344710-348396	3687	+
ENSSHAG00000015764	A:348397-351486	3090	+
ENSSHAG00000018520	A:351487-354567	3081	+
ENSSHAG00000018837	A:354568-355812	1245	-
ENSSHAG00000018861	A:355813-357114	1302	+
ENSSHAG00000029768	A:357115-358440	1326	-
ENSSHAG00000027597	A:358441-360588	2148	+
ENSSHAG00000030072	A:360589-361485	897	+
ENSSHAG00000022459	A:361486-362880	1395	-
ENSSHAG00000012663	A:362881-363405	525	+
ENSSHAG00000023494	A:363406-364635	1230	+
ENSSHAG00000031008	A:364636-365559	924	+
ENSSHAG00000005432	A:365560-368136	2577	+
ENSSHAG00000026569	A:368137-368610	474	+
ENSSHAG00000024593	A:368611-371538	2928	+
ENSSHAG00000008779	A:371539-372618	1080	+
ENSSHAG00000010057	A:372619-373884	1266	-
ENSSHAG00000021107	A:373885-374334	450	+
ENSSHAG00000011374	A:374335-375519	1185	-
ENSSHAG00000012472	A:375520-376989	1470	-
ENSSHAG00000012943	A:376990-380277	3288	-
ENSSHAG00000014467	A:380278-381843	1566	+
ENSSHAG00000014669	A:381844-386328	4485	+
ENSSHAG00000030288	A:386329-387162	834	-
ENSSHAG00000015131	A:387163-389127	1965	+
ENSSHAG00000015270	A:389128-390780	1653	+
ENSSHAG00000015320	A:390781-394479	3699	+
ENSSHAG00000000167	A:394480-395586	1107	+
ENSSHAG00000015377	A:395587-397422	1836	-
ENSSHAG00000015430	A:397423-398784	1362	-
ENSSHAG00000015484	A:398785-399288	504	+
ENSSHAG00000029046	A:399289-400629	1341	+
ENSSHAG00000015536	A:400630-401667	1038	-
ENSSHAG00000027066	A:401668-402441	774	-
ENSSHAG00000021056	A:402442-402990	549	+
ENSSHAG00000015693	A:402991-405102	2112	+
ENSSHAG00000015757	A:405103-407289	2187	+
ENSSHAG00000023316	A:407290-408525	1236	+
ENSSHAG00000025675	A:408526-412119	3594	-
ENSSHAG00000031954	A:412120-412902	783	-
ENSSHAG00000016019	A:412903-417309	4407	+
ENSSHAG00000016157	A:417310-417843	534	-
ENSSHAG00000016281	A:417844-419751	1908	+
ENSSHAG00000016457	A:419752-421980	2229	+
ENSSHAG00000021643	A:421981-422313	333	-
ENSSHAG00000016558	A:422314-423276	963	-
ENSSHAG00000017272	A:423277-427005	3729	+
ENSSHAG00000026964	A:427006-428868	1863	+
ENSSHAG00000018140	A:428869-430671	1803	+
ENSSHAG00000028397	A:430672-432123	1452	+
ENSSHAG00000031478	A:432124-434286	2163	+
ENSSHAG00000027506	A:434287-435072	786	-
ENSSHAG00000022602	A:435073-437196	2124	+
ENSSHAG00000018702	A:437197-438744	1548	-
ENSSHAG00000018802	A:438745-439749	1005	-
ENSSHAG00000006422	A:439750-441531	1782	+
ENSSHAG00000006738	A:441532-442197	666	-
ENSSHAG00000008610	A:442198-443628	1431	+
ENSSHAG00000010530	A:443629-445035	1407	+
ENSSHAG00000010787	A:445036-445686	651	-
ENSSHAG00000011021	A:445687-446979	1293	+
ENSSHAG00000011099	A:446980-448980	2001	-
ENSSHAG00000012194	A:448981-449775	795	-
ENSSHAG00000012567	A:449776-453987	4212	+
ENSSHAG00000012782	A:453988-454392	405	-
ENSSHAG00000012822	A:454393-456039	1647	-
ENSSHAG00000012953	A:456040-457620	1581	-
ENSSHAG00000013078	A:457621-461436	3816	+
ENSSHAG00000013534	A:461437-462480	1044	+
ENSSHAG00000029482	A:462481-463935	1455	+
ENSSHAG00000013651	A:463936-469809	5874	-
ENSSHAG00000014733	A:469810-471756	1947	-
ENSSHAG00000026312	A:471757-472755	999	+
ENSSHAG00000015988	A:472756-475089	2334	+
ENSSHAG00000016078	A:475090-476976	1887	-
ENSSHAG00000024996	A:476977-478014	1038	+
ENSSHAG00000016383	A:478015-482430	4416	-
ENSSHAG00000017083	A:482431-485157	2727	-
ENSSHAG00000017233	A:485158-486705	1548	-
ENSSHAG00000017717	A:486706-489969	3264	+
ENSSHAG00000017858	A:489970-491826	1857	-
ENSSHAG00000031935	A:491827-492132	306	-
ENSSHAG00000001194	A:492133-494904	2772	+
ENSSHAG00000029957	A:494905-496110	1206	-
ENSSHAG00000021201	A:496111-496614	504	+
ENSSHAG00000003679	A:496615-498666	2052	-
ENSSHAG00000004989	A:498667-500817	2151	+
ENSSHAG00000006236	A:500818-503463	2646	+
ENSSHAG00000006525	A:503464-505278	1815	-
ENSSHAG00000007635	A:505279-506481	1203	+
ENSSHAG00000009971	A:506482-509187	2706	+
ENSSHAG00000010624	A:509188-510570	1383	+
ENSSHAG00000011415	A:510571-511593	1023	+
ENSSHAG00000011983	A:511594-513405	1812	-
ENSSHAG00000013122	A:513406-514392	987	+
ENSSHAG00000001587	A:514393-519957	5565	+
ENSSHAG00000011029	A:519958-521070	1113	-
ENSSHAG00000009218	A:521071-523794	2724	+
ENSSHAG00000011541	A:523795-525744	1950	+
ENSSHAG00000011642	A:525745-527178	1434	+
ENSSHAG00000022270	A:527179-528195	1017	-
ENSSHAG00000013098	A:528196-530061	1866	+
ENSSHAG00000013915	A:530062-531489	1428	+
ENSSHAG00000014141	A:531490-532857	1368	-
ENSSHAG00000014760	A:532858-534639	1782	+
ENSSHAG00000015694	A:534640-534891	252	+
ENSSHAG00000015964	A:534892-535593	702	-
ENSSHAG00000016131	A:535594-537012	1419	-
ENSSHAG00000023146	A:537013-538830	1818	-
ENSSHAG00000025451	A:538831-539451	621	+
ENSSHAG00000026204	A:539452-539829	378	-
ENSSHAG00000026824	A:539830-540813	984	-
ENSSHAG00000016954	A:540814-543435	2622	-
ENSSHAG00000029905	A:543436-543966	531	+
ENSSHAG00000028621	A:543967-544812	846	+
ENSSHAG00000030540	A:544813-545448	636	-
ENSSHAG00000023671	A:545449-546219	771	-
ENSSHAG00000024088	A:546220-548199	1980	-
ENSSHAG00000017611	A:548200-551448	3249	+
ENSSHAG00000017646	A:551449-553332	1884	-
ENSSHAG00000017715	A:553333-556770	3438	-
ENSSHAG00000018611	A:556771-562656	5886	-
ENSSHAG00000004775	A:562657-563649	993	+
ENSSHAG00000031149	A:563650-567450	3801	+
ENSSHAG00000021230	A:567451-568497	1047	-
ENSSHAG00000011504	A:568498-569808	1311	+
ENSSHAG00000012006	A:569809-573072	3264	-
ENSSHAG00000028174	A:573073-573819	747	+
ENSSHAG00000014660	A:573820-576927	3108	-
ENSSHAG00000003405	A:576928-580386	3459	-
ENSSHAG00000007126	A:580387-587307	6921	-
ENSSHAG00000010489	A:587308-588258	951	+
ENSSHAG00000010755	A:588259-589854	1596	+
ENSSHAG00000028899	A:589855-591402	1548	+
ENSSHAG00000020794	A:591403-592347	945	+
ENSSHAG00000005353	A:592348-593406	1059	+
ENSSHAG00000006238	A:593407-594768	1362	-
ENSSHAG00000008346	A:594769-598410	3642	-
ENSSHAG00000012467	A:598411-598614	204	+
ENSSHAG00000028684	A:598615-599016	402	+
ENSSHAG00000028457	A:599017-599754	738	-
ENSSHAG00000030399	A:599755-601005	1251	+
ENSSHAG00000014265	A:601006-603393	2388	+
ENSSHAG00000016038	A:603394-605184	1791	+
ENSSHAG00000016359	A:605185-606639	1455	+
ENSSHAG00000016672	A:606640-608631	1992	+
ENSSHAG00000024982	A:608632-610350	1719	-
ENSSHAG00000000204	A:610351-611658	1308	-
ENSSHAG00000030201	A:611659-612702	1044	+
ENSSHAG00000006445	A:612703-613695	993	-
ENSSHAG00000029068	A:613696-614223	528	-
ENSSHAG00000022099	A:614224-615156	933	-
ENSSHAG00000006543	A:615157-616011	855	-
ENSSHAG00000007223	A:616012-617010	999	+
ENSSHAG00000007852	A:617011-618174	1164	+
ENSSHAG00000023186	A:618175-625326	7152	+
ENSSHAG00000012430	A:625327-630045	4719	+
ENSSHAG00000001397	A:630046-630900	855	+
ENSSHAG00000003157	A:630901-631734	834	-
ENSSHAG00000005265	A:631735-635121	3387	-
ENSSHAG00000030623	A:635122-635559	438	-
ENSSHAG00000031647	A:635560-635925	366	+
ENSSHAG00000028515	A:635926-636270	345	+
ENSSHAG00000025452	A:636271-637923	1653	+
ENSSHAG00000029739	A:637924-638280	357	+
ENSSHAG00000005207	A:638281-639585	1305	-
ENSSHAG00000005950	A:639586-640170	585	+
ENSSHAG00000021104	A:640171-640599	429	+
ENSSHAG00000029097	A:640600-641028	429	-
ENSSHAG00000006682	A:641029-642897	1869	+
ENSSHAG00000023336	A:642898-649578	6681	+
ENSSHAG00000007233	A:649579-650925	1347	-
ENSSHAG00000008499	A:650926-652905	1980	-
ENSSHAG00000002393	A:652906-654558	1653	+
ENSSHAG00000004280	A:654559-657159	2601	+
ENSSHAG00000023431	A:657160-658047	888	+
ENSSHAG00000004281	A:658048-660879	2832	+
ENSSHAG00000002537	A:660880-663516	2637	+
ENSSHAG00000003721	A:663517-666204	2688	-
ENSSHAG00000004652	A:666205-668931	2727	-
ENSSHAG00000005365	A:668932-671412	2481	+
ENSSHAG00000021565	A:671413-671946	534	-
ENSSHAG00000006080	A:671947-673056	1110	+
ENSSHAG00000006141	A:673057-674088	1032	-
ENSSHAG00000006335	A:674089-679212	5124	+
ENSSHAG00000007941	A:679213-681078	1866	+
ENSSHAG00000008227	A:681079-688401	7323	-
ENSSHAG00000008768	A:688402-692634	4233	-
ENSSHAG00000009252	A:692635-693216	582	+
ENSSHAG00000031866	A:693217-695511	2295	+
ENSSHAG00000009297	A:695512-697023	1512	-
ENSSHAG00000009571	A:697024-699231	2208	+
ENSSHAG00000002401	A:699232-711852	12621	-
ENSSHAG00000000848	A:711853-713487	1635	-
ENSSHAG00000026928	A:713488-714444	957	+
ENSSHAG00000002110	A:714445-715899	1455	-
ENSSHAG00000002923	A:715900-716946	1047	+
ENSSHAG00000029225	A:716947-718401	1455	-
ENSSHAG00000004018	A:718402-721581	3180	+
ENSSHAG00000021735	A:721582-723498	1917	-
ENSSHAG00000001263	A:723499-724923	1425	+
ENSSHAG00000021178	A:724924-726057	1134	+
ENSSHAG00000006854	A:726058-726756	699	+
ENSSHAG00000006953	A:726757-727887	1131	-
ENSSHAG00000024108	A:727888-728625	738	-
ENSSHAG00000028066	A:728626-729900	1275	+
ENSSHAG00000007455	A:729901-731490	1590	-
ENSSHAG00000007762	A:731491-733050	1560	+
ENSSHAG00000026464	A:733051-735684	2634	-
ENSSHAG00000028310	A:735685-736461	777	+
ENSSHAG00000025327	A:736462-737442	981	-
ENSSHAG00000029799	A:737443-741879	4437	-
ENSSHAG00000010496	A:741880-746508	4629	+
ENSSHAG00000010976	A:746509-749334	2826	-
ENSSHAG00000027726	A:749335-749874	540	-
ENSSHAG00000011214	A:749875-755952	6078	-
ENSSHAG00000018944	A:755953-757137	1185	-
ENSSHAG00000024718	A:757138-757887	750	+
ENSSHAG00000018930	A:757888-758940	1053	-
ENSSHAG00000018928	A:758941-759408	468	+
ENSSHAG00000018759	A:759409-762816	3408	+
ENSSHAG00000031093	A:762817-763482	666	-
ENSSHAG00000028115	A:763483-764751	1269	+
ENSSHAG00000024909	A:764752-765105	354	+
ENSSHAG00000018713	A:765106-766533	1428	+
ENSSHAG00000018697	A:766534-767859	1326	+
ENSSHAG00000018692	A:767860-768615	756	+
ENSSHAG00000018689	A:768616-769527	912	+
ENSSHAG00000018682	A:769528-770685	1158	+
ENSSHAG00000021700	A:770686-772050	1365	+
ENSSHAG00000018673	A:772051-772506	456	-
ENSSHAG00000018658	A:772507-774801	2295	-
ENSSHAG00000018627	A:774802-775746	945	-
ENSSHAG00000018510	A:775747-777276	1530	-
ENSSHAG00000018479	A:777277-778326	1050	-
ENSSHAG00000018418	A:778327-780708	2382	-
ENSSHAG00000018260	A:780709-783153	2445	-
ENSSHAG00000018151	A:783154-786564	3411	-
ENSSHAG00000018098	A:786565-788232	1668	+
ENSSHAG00000025761	A:788233-791649	3417	+
ENSSHAG00000018037	A:791650-792501	852	+
ENSSHAG00000017968	A:792502-793671	1170	+
ENSSHAG00000017929	A:793672-795201	1530	+
ENSSHAG00000017875	A:795202-796833	1632	+
ENSSHAG00000017846	A:796834-799902	3069	+
ENSSHAG00000027540	A:799903-800742	840	-
ENSSHAG00000021000	A:800743-801234	492	+
ENSSHAG00000017747	A:801235-802545	1311	+
ENSSHAG00000024114	A:802546-803628	1083	+
ENSSHAG00000017590	A:803629-807531	3903	-
ENSSHAG00000027928	A:807532-809043	1512	+
ENSSHAG00000017547	A:809044-811215	2172	+
ENSSHAG00000025873	A:811216-813513	2298	-
ENSSHAG00000020766	A:813514-824904	11391	-
ENSSHAG00000021948	A:824905-825393	489	-
ENSSHAG00000016867	A:825394-828078	2685	-
ENSSHAG00000031377	A:828079-828765	687	+
ENSSHAG00000016474	A:828766-830085	1320	+
ENSSHAG00000020820	A:830086-830412	327	-
ENSSHAG00000016308	A:830413-830991	579	+
ENSSHAG00000031759	A:830992-831594	603	+
ENSSHAG00000016024	A:831595-834522	2928	+
ENSSHAG00000029899	A:834523-835308	786	+
ENSSHAG00000015747	A:835309-837093	1785	-
ENSSHAG00000024380	A:837094-837795	702	+
ENSSHAG00000027422	A:837796-838857	1062	-
ENSSHAG00000015577	A:838858-840105	1248	-
ENSSHAG00000028406	A:840106-841281	1176	+
ENSSHAG00000030662	A:841282-846963	5682	+
ENSSHAG00000015322	A:846964-852345	5382	+
ENSSHAG00000015212	A:852346-856488	4143	+
ENSSHAG00000031850	A:856489-857862	1374	+
ENSSHAG00000015068	A:857863-859998	2136	+
ENSSHAG00000023020	A:859999-862326	2328	+
ENSSHAG00000022188	A:862327-863868	1542	+
ENSSHAG00000014794	A:863869-864417	549	-
ENSSHAG00000024349	A:864418-866082	1665	+
ENSSHAG00000014674	A:866083-869574	3492	-
ENSSHAG00000025091	A:869575-870282	708	+
ENSSHAG00000014344	A:870283-871758	1476	-
ENSSHAG00000029717	A:871759-872691	933	+
ENSSHAG00000023624	A:872692-873831	1140	+
ENSSHAG00000012845	A:873832-875103	1272	+
ENSSHAG00000012387	A:875104-885561	10458	+
ENSSHAG00000012116	A:885562-887862	2301	+
ENSSHAG00000031602	A:887863-888366	504	+
ENSSHAG00000029339	A:888367-890139	1773	+
ENSSHAG00000011805	A:890140-891981	1842	-
ENSSHAG00000023562	A:891982-893421	1440	+
ENSSHAG00000011181	A:893422-902205	8784	+
ENSSHAG00000009870	A:902206-903543	1338	+
ENSSHAG00000009302	A:903544-904461	918	-
ENSSHAG00000025063	A:904462-904872	411	+
ENSSHAG00000008371	A:904873-909552	4680	+
ENSSHAG00000027255	A:909553-911943	2391	+
ENSSHAG00000007480	A:911944-913839	1896	+
ENSSHAG00000020658	A:913840-916116	2277	-
ENSSHAG00000005111	A:916117-916761	645	-
ENSSHAG00000021704	A:916762-917874	1113	-
ENSSHAG00000030270	A:917875-919398	1524	+
ENSSHAG00000022961	A:919399-920922	1524	+
ENSSHAG00000024915	A:920923-922446	1524	-
ENSSHAG00000022645	A:922447-923970	1524	-
ENSSHAG00000007146	A:923971-925587	1617	+
ENSSHAG00000006552	A:925588-927342	1755	+
ENSSHAG00000001445	A:927343-928722	1380	+
ENSSHAG00000005659	A:928723-929841	1119	+
ENSSHAG00000031960	A:929842-930531	690	-
ENSSHAG00000001927	A:930532-932604	2073	-
ENSSHAG00000001725	A:932605-935688	3084	+
ENSSHAG00000027621	A:935689-959421	23733	-
ENSSHAG00000015166	A:959422-962217	2796	-
ENSSHAG00000026953	A:962218-963294	1077	-
ENSSHAG00000022939	A:963295-964731	1437	-
ENSSHAG00000014798	A:964732-965412	681	-
ENSSHAG00000027608	A:965413-965790	378	+
ENSSHAG00000014645	A:965791-966600	810	+
ENSSHAG00000021122	A:966601-967143	543	-
ENSSHAG00000023523	A:967144-968199	1056	-
ENSSHAG00000012600	A:968200-969303	1104	+
ENSSHAG00000023350	A:969304-970341	1038	-
ENSSHAG00000023996	A:970342-971367	1026	-
ENSSHAG00000029686	A:971368-972387	1020	-
ENSSHAG00000009204	A:972388-973689	1302	-
ENSSHAG00000009023	A:973690-975033	1344	+
ENSSHAG00000008746	A:975034-977913	2880	-
ENSSHAG00000031952	A:977914-978381	468	+
ENSSHAG00000007862	A:978382-979419	1038	-
ENSSHAG00000007071	A:979420-980430	1011	-
ENSSHAG00000022564	A:980431-981696	1266	-
ENSSHAG00000006447	A:981697-982308	612	-
ENSSHAG00000002214	A:982309-984000	1692	+
ENSSHAG00000021055	A:984001-984480	480	-
ENSSHAG00000011530	A:984481-992805	8325	+
ENSSHAG00000011454	A:992806-994239	1434	+
ENSSHAG00000010781	A:994240-1002006	7767	-
ENSSHAG00000010081	A:1002007-1003272	1266	+
ENSSHAG00000009655	A:1003273-1005618	2346	-
ENSSHAG00000008923	A:1005619-1007361	1743	+
ENSSHAG00000008643	A:1007362-1007928	567	-
ENSSHAG00000008157	A:1007929-1008333	405	-
ENSSHAG00000007816	A:1008334-1008930	597	+
ENSSHAG00000007547	A:1008931-1013844	4914	+
ENSSHAG00000007011	A:1013845-1017705	3861	-
ENSSHAG00000006115	A:1017706-1018503	798	-
ENSSHAG00000004557	A:1018504-1020294	1791	-
ENSSHAG00000000895	A:1020295-1023615	3321	-
ENSSHAG00000031494	A:1023616-1024872	1257	-
ENSSHAG00000032330	A:1024873-1027503	2631	-
ENSSHAG00000006980	A:1027504-1031196	3693	+
ENSSHAG00000021147	A:1031197-1033983	2787	-
ENSSHAG00000023174	A:1033984-1034454	471	-
ENSSHAG00000004204	A:1034455-1035996	1542	-
ENSSHAG00000024949	A:1035997-1036479	483	+
ENSSHAG00000022991	A:1036480-1037313	834	-
ENSSHAG00000000832	A:1037314-1037757	444	+
ENSSHAG00000032358	A:1037758-1038249	492	+
ENSSHAG00000002144	A:1038250-1041270	3021	-
ENSSHAG00000017055	A:1041271-1044000	2730	+
ENSSHAG00000020709	A:1044001-1044819	819	+
ENSSHAG00000029141	A:1044820-1045545	726	+
ENSSHAG00000026610	A:1045546-1045887	342	+
ENSSHAG00000032235	A:1045888-1047294	1407	+
ENSSHAG00000016374	A:1047295-1049856	2562	-
ENSSHAG00000025657	A:1049857-1051185	1329	+
ENSSHAG00000016119	A:1051186-1058079	6894	+
ENSSHAG00000012916	A:1058080-1059030	951	+
ENSSHAG00000032149	A:1059031-1073268	14238	+
ENSSHAG00000021823	A:1073269-1074528	1260	-
ENSSHAG00000012132	A:1074529-1075008	480	-
ENSSHAG00000022703	A:1075009-1076151	1143	-
ENSSHAG00000011891	A:1076152-1077339	1188	-
ENSSHAG00000011572	A:1077340-1080513	3174	+
ENSSHAG00000010234	A:1080514-1083972	3459	-
ENSSHAG00000025189	A:1083973-1086312	2340	-
